Indicator Code,Indicator Name,Aggregation method,Dataset,General comments,License Type,License URL,Long definition,Periodicity,Referenceperiod,Short definition,Source,Topic,Unit of measure,Relatedindicators,Development relevance,Limitations and exceptions,Notes from original source,Statistical concept and methodology,Otherweblinks,BasePeriod,Othernotes,Previous Indicator Name,DataQuality,Derivationmethod,Relatedsourcelinks
account.t.d,Account (% age 15+),Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account"").""",Triennial,2021,"""The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account"").""",Global Findex database,Assets,Percent,,,,,,,,,,,,
account.t.d.1,"""Account, female (% age 15+)""",Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), female (% age 15+)""",Triennial,2021,"""The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), female (% age 15+)""",Global Findex database,Assets,Percent,,,,,,,,,,,,
account.t.d.2,"""Account, male (% age 15+)""",Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), male (% age 15+)""",Triennial,2021,"""The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see the definition for ""financial institution account"") or report personally using a mobile money service in the past year (see the definition for ""mobile money account""), male (% age 15+)""",Global Findex database,Assets,Percent,,,,,,,,,,,,
borrow.any,Borrowed any money (% age 15+),Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year.,Triennial,2021,The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year.,Global Findex database,Assets,Percent,,,,,,,,,,,,
borrow.any.1,"""Borrowed any money, female (% age 15+)""",Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, female (% age 15+)""",Triennial,2021,"""The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, female (% age 15+)""",Global Findex database,Assets,Percent,,,,,,,,,,,,
borrow.any.2,"""Borrowed any money, male (% age 15+)""",Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, male (% age 15+)""",Triennial,2021,"""The percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past year, male (% age 15+)""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin1.1a,First financial institution account ever was opened to receive a wage payment (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report opening a financial institution account for the first time to receive a wage payment.,Triennial,2021 variable,The percentage of respondents who report opening a financial institution account for the first time to receive a wage payment.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin1.1ab,First financial institution account ever was opened to receive a wage payment or money from the government (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report opening a financial institution account for the first time to receive money from the government or to receive a wage payment.,Triennial,2021 variable,The percentage of respondents who report opening a financial institution account for the first time to receive money from the government or to receive a wage payment.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin1.1b,First financial institution ever account was opened to receive money from the government (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report opening a financial institution account for the first time to receive money from the government.,Triennial,2021 variable,The percentage of respondents who report opening a financial institution account for the first time to receive money from the government.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin1.t.d,Financial institution account (% age 15+),Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.,Triennial,2021,The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin1.t.d.1,"""Financial institution account, female (% age 15+)""",Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, female (% age 15+)""",Triennial,2021,"""The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, female (% age 15+)""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin1.t.d.2,"""Financial institution account, male (% age 15+)""",Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, male (% age 15+)""",Triennial,2021,"""The percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution, male (% age 15+)""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10.1a,Reason for not using their inactive account: bank or financial institution is too far away (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report having an inactive account because the bank or financial institution is too far away.,Triennial,2021 variable,The percentage of respondents who report having an inactive account because the bank or financial institution is too far away.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10.1a.s,"""Reason for not using their inactive account: bank or financial institution is too far away (% with an inactive account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having an inactive account, the percentage who report that they don't use their account because the bank or financial institution is too far away.""",Triennial,2021 variable,"""Among respondents who report having an inactive account, the percentage who report that they don't use their account because the bank or financial institution is too far away.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10.1b,Reason for not using their inactive account: no need for an account (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report having an inactive account because they have no need for an account.,Triennial,2021 variable,The percentage of respondents who report having an inactive account because they have no need for an account.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10.1b.s,"""Reason for not using their inactive account: no need for an account (% with an inactive account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having an inactive account, the percentage who don't use the account because they have no need for one.""",Triennial,2021 variable,"""Among respondents who report having an inactive account, the percentage who don't use the account because they have no need for one.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10.1c,Reason for not using their inactive account: don't have enough money to use an account (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report having an inactive account because they don't have enough money to use the account.,Triennial,2021 variable,The percentage of respondents who report having an inactive account because they don't have enough money to use the account.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10.1c.s,"""Reason for not using their inactive account: don't have enough money to use an account (% with an inactive account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having an inactive account, the percentage who report that they don't have enough money to use the account.""",Triennial,2021 variable,"""Among respondents who report having an inactive account, the percentage who report that they don't have enough money to use the account.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10.1d,Reason for not using their inactive account: don't feel comfortable using the account by themselves (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report having an inactive account because they don't feel comfortable using the account by themselves.,Triennial,2021 variable,The percentage of respondents who report having an inactive account because they don't feel comfortable using the account by themselves.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10.1d.s,"""Reason for not using their inactive account: don't feel comfortable using an account by themselves (% with an inactive account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having an inactive account, the percentage who report that they don't feel comfortable using the account by themselves.""",Triennial,2021 variable,"""Among respondents who report having an inactive account, the percentage who report that they don't feel comfortable using the account by themselves.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10.1e,Reason for not using their inactive account: don't trust banks or financial institutions (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report having an inactive account because they don't trust banks or financial institutions.,Triennial,2021 variable,The percentage of respondents who report having an inactive account because they don't trust banks or financial institutions.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10.1e.s,"""Reason for not using their inactive account: don't trust banks or financial institutions (% with an inactive account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having an inactive account, the percentage who don't use the account because they don't trust banks or financial institutions.""",Triennial,2021 variable,"""Among respondents who report having an inactive account, the percentage who don't use the account because they don't trust banks or financial institutions.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10a,Withdrew money from a financial institution account 2 or more times a month (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report withdrawing money from their account two or more times per month.,Triennial,2021 variable,The percentage of respondents who report withdrawing money from their account two or more times per month.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin10a.s,"""Withdrew money from a financial institution account 2 or more times a month (% who had withdrawn money, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who withdrew money, the percentage who report doing so two or more times per month.""",Triennial,2021 variable,"""Among respondents who withdrew money, the percentage who report doing so two or more times per month.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11.1,"""Can use account at a bank or financial institution without help if opened (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among the share of respondents without an account, the percentage of respondents who report they can use an account at a bank or a financial institution without help, if opened.""",Triennial,2021 variable,"""Among the share of respondents without an account, the percentage of respondents who report they can use an account at a bank or a financial institution without help, if opened.""",Global Findex database,Technology,Percent,,,,,,,,,,,,
fin11a,No account because financial institutions are too far away (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report that they don't have a financial institution account because financial institutions are too far away.,Triennial,2021 variable,The percentage of respondents who report that they don't have a financial institution account because financial institutions are too far away.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11a.s,"""No account because financial institutions are too far away (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report that they don't have a financial institution account because financial institutions are too far away.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report that they don't have a financial institution account because financial institutions are too far away.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11b,No account because financial services are too expensive (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report not having a financial institution account because financial services are too expensive.,Triennial,2021 variable,The percentage of respondents who report not having a financial institution account because financial services are too expensive.,Global Findex database,Assets,Percent,,,,,,,,,,,,
